x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database,category
8.329914,14.222466,16082,2.0,II,II-C,4.0,benchmark,II
5.3529916,10.95833,16083,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,Not-Annotated-By-Cctyper
-13.307821,18.179083,16084,1.0,I,I-E,12.0,flsh,I
-5.2017083,25.656374,16085,1.0,I,I-E,8.0,benchmark,I
-5.2017317,25.656155,16086,1.0,I,I-E,8.0,benchmark,I
7.5104322,13.054838,16087,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,61.0,flsh,Not-Annotated-By-Cctyper
5.9650083,19.162165,16088,2.0,II,II-A,7.0,flsh,II
6.696673,18.637037,16089,2.0,II,II-A,4.0,flsh,II
3.7548485,9.121621,16090,2.0,II,II-D,1.0,benchmark,II
3.7162051,9.075364,16091,2.0,V,V-K,1.0,benchmark,V
0.43410778,8.6835,16092,1.0,I,I-C,10.0,benchmark,I
